% f evaluations | g evaluations | best noise-free fitness - Fopt (-1.694000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +4.881803639e+02 +4.712403639e+02 +4.712403639e+02 +2.9654e+00 -3.1657e+00 +2.7969e+00 +9.6850e-01 -5.4167e-01 -4.0003e+00 -4.0751e-01 -1.6629e+00 -3.5713e+00 +1.5089e+00
4 0 +3.897845539e+02 +3.728445539e+02 +3.728445539e+02 +1.8031e+00 -4.9501e-01 -4.8674e+00 +4.4220e+00 +6.3288e-01 -1.1458e+00 -4.8403e+00 -2.6911e+00 -2.5897e+00 +1.8326e+00
5 0 +8.994759819e+01 +7.300759819e+01 +7.300759819e+01 +1.1000e+00 +3.3319e+00 -3.2664e+00 -1.0894e+00 -3.1776e+00 +2.5536e+00 -7.4844e-01 -2.9206e+00 +6.7700e-01 -4.6869e+00
10 0 +5.735445642e+01 +4.041445642e+01 +4.041445642e+01 +4.7171e+00 +3.4891e+00 +2.2173e+00 -2.6402e+00 -2.4393e+00 -4.5957e+00 +2.1066e+00 -3.8911e+00 -6.0663e-01 -2.9828e+00
21 0 +5.400205346e+01 +3.706205346e+01 +3.706205346e+01 +3.5093e+00 +4.3563e+00 +2.8534e+00 +1.6899e+00 +8.0687e-01 -1.2772e+00 +4.4013e+00 +4.7366e+00 -2.1608e+00 -1.9464e+00
57 0 +4.621074775e+01 +2.927074775e+01 +2.927074775e+01 +3.0504e+00 +4.0315e+00 +1.1726e+00 +4.8046e+00 +1.0809e+00 +1.3664e+00 +5.4816e-01 -4.0900e+00 +2.2640e+00 +4.7446e-01
357 0 +4.005285374e+01 +2.311285374e+01 +2.311285374e+01 +3.3164e+00 +4.0315e+00 +1.1726e+00 +4.8046e+00 +1.0809e+00 +1.3664e+00 +5.4816e-01 -4.0900e+00 +2.2640e+00 +4.7446e-01
885 0 +3.819479551e+01 +2.125479551e+01 +2.125479551e+01 +2.2675e+00 +1.9591e+00 -1.4740e+00 +3.2479e+00 +1.5659e-01 -3.6706e-01 +9.2215e-01 -2.0997e+00 +4.3101e+00 -1.0818e+00
951 0 +3.383858732e+01 +1.689858732e+01 +1.689858732e+01 +3.3164e+00 +4.0315e+00 +1.1726e+00 +4.8046e+00 +1.0809e+00 +8.0750e-01 +5.4816e-01 -4.0900e+00 +2.2640e+00 +4.7446e-01
1469 0 +2.805823801e+01 +1.111823801e+01 +1.111823801e+01 +2.2675e+00 +1.9591e+00 -1.4740e+00 +3.2479e+00 +1.5659e-01 -3.6706e-01 +9.2215e-01 -2.0997e+00 +2.4885e+00 -1.0818e+00
