alg1,alg2,W,p,p_holm,reject_0.05
SciPyDE,jSO,0.0,1.862645149230957e-09,1.1548399925231934e-07,True
SLO_HBYRID,SciPyDE,0.0,1.862645149230957e-09,1.1734664440155029e-07,True
NLSHADE-RSP,SciPyDE,0.0,1.862645149230957e-09,1.1920928955078125e-07,True
NLSHADE-RSP,PSO,0.0,1.862645149230957e-09,1.210719347000122e-07,True
LSHADE,SciPyDE,0.0,1.862645149230957e-09,1.2293457984924316e-07,True
LBFGSB,SLO_HBYRID,1.0,3.725290298461914e-09,2.1606683731079102e-07,True
JADE,SciPyDE,1.0,3.725290298461914e-09,2.1979212760925293e-07,True
JADE,PSO,1.0,3.725290298461914e-09,2.2351741790771484e-07,True
GWO,jSO,1.0,3.725290298461914e-09,2.2724270820617676e-07,True
LBFGSB,jSO,2.0,5.587935447692871e-09,3.073364496231079e-07,True
GWO,NLSHADE-RSP,1.5,5.587935447692871e-09,3.129243850708008e-07,True
CMAES,SciPyDE,2.5,5.587935447692871e-09,3.1851232051849365e-07,True
JADE,LBFGSB,3.0,9.313225746154785e-09,5.029141902923584e-07,True
LSHADE,PSO,4.0,1.30385160446167e-08,6.780028343200684e-07,True
GWO,LSHADE,4.0,1.30385160446167e-08,6.910413503646851e-07,True
LBFGSB,LSHADE,4.5,1.862645149230957e-08,9.313225746154785e-07,True
GWO,JADE,4.5,1.862645149230957e-08,9.499490261077881e-07,True
LBFGSB,NLSHADE-RSP,6.0,2.60770320892334e-08,1.2777745723724365e-06,True
PSO,jSO,6.5,3.5390257835388184e-08,1.6987323760986328e-06,True
MealpyGA,NLSHADE-RSP,10.5,1.0244548320770264e-07,4.814937710762024e-06,True
GWO,SLO_HBYRID,12.0,1.30385160446167e-07,5.997717380523682e-06,True
CMAES,jSO,23.0,1.1920928955078125e-06,5.364418029785156e-05,True
CMAES,LBFGSB,24.5,1.4193356037139893e-06,6.245076656341553e-05,True
PSO,SLO_HBYRID,28.0,2.7623027563095093e-06,0.0001187790185213089,True
JADE,MealpyGA,30.5,3.7904828786849976e-06,0.0001592002809047699,True
SSA,jSO,33.0,5.973502993583679e-06,0.00024491362273693085,True
JADE,SSA,39.0,1.3966113328933716e-05,0.0005586445331573486,True
LSHADE,SSA,41.0,1.8244609236717224e-05,0.0007115397602319717,True
MealpyGA,jSO,42.0,2.0798295736312866e-05,0.0007903352379798889,True
PSO,SciPyDE,43.5,2.366676926612854e-05,0.000875670462846756,True
LSHADE,MealpyGA,48.0,4.4075772166252136e-05,0.001586727797985077,True
NLSHADE-RSP,SSA,57.0,0.00012333691120147705,0.004316791892051697,True
SLO_HBYRID,SSA,59.5,0.0001528710126876831,0.0050447434186935425,True
MealpyGA,SciPyDE,59.0,0.0001528710126876831,0.005197614431381226,True
LBFGSB,MealpyGA,64.0,0.0002562887966632843,0.008201241493225098,True
LBFGSB,PSO,65.5,0.00031275488436222076,0.009695401415228844,True
GWO,SciPyDE,67.0,0.0003449581563472748,0.010348744690418243,True
MealpyGA,SLO_HBYRID,71.0,0.0005054883658885956,0.014659162610769272,True
CMAES,LSHADE,75.5,0.0007978975772857666,0.022341132164001465,True
CMAES,JADE,79.0,0.001038169488310814,0.028030576184391975,True
CMAES,GWO,80.5,0.0011314544826745987,0.029417816549539566,True
GWO,LBFGSB,82.5,0.001340603455901146,0.03351508639752865,True
CMAES,SLO_HBYRID,90.0,0.002560090273618698,0.061442166566848755,False
CMAES,PSO,92.5,0.0029870010912418365,0.06870102509856224,False
LBFGSB,SSA,92.5,0.0032229889184236526,0.07090575620532036,False
SLO_HBYRID,jSO,107.0,0.008705463260412216,0.18281472846865654,False
CMAES,NLSHADE-RSP,125.5,0.027741437777876854,0.5548287555575371,False
LSHADE,NLSHADE-RSP,222.0,0.8393927440047264,0.8393927440047264,False
CMAES,SSA,135.0,0.044907208532094955,0.8532369621098042,False
SSA,SciPyDE,150.5,0.09194962680339813,1.0,False
CMAES,MealpyGA,151.5,0.09610157273709774,1.0,False
LBFGSB,SciPyDE,193.5,0.4399667661637068,1.0,False
LSHADE,SLO_HBYRID,203.5,0.5561132747679949,1.0,False
LSHADE,jSO,140.0,0.05768792890012264,1.0,False
MealpyGA,PSO,205.0,0.583757072687149,1.0,False
MealpyGA,SSA,173.5,0.22855282202363014,1.0,False
JADE,SLO_HBYRID,181.5,0.2988441474735737,1.0,False
JADE,jSO,166.0,0.27462591975927353,1.0,False
GWO,SSA,221.5,0.8235769439488649,1.0,False
JADE,LSHADE,189.5,0.5503522604703903,1.0,False
JADE,NLSHADE-RSP,176.5,0.25343610532581806,1.0,False
NLSHADE-RSP,SLO_HBYRID,221.0,0.8235769439488649,1.0,False
NLSHADE-RSP,jSO,161.0,0.1459994912147522,1.0,False
PSO,SSA,189.0,0.3817984350025654,1.0,False
GWO,MealpyGA,180.5,0.2988441474735737,1.0,False
GWO,PSO,182.5,0.31839608028531075,1.0,False
