% f evaluations | g evaluations | best noise-free fitness - Fopt (1.026100000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
23 0 +2.427806194e+02 +3.360806194e+02 +3.360806194e+02 -1.9194e+00 +4.2540e-01 +8.8141e-02 +1.3633e+00 -2.4954e+00 +8.9871e-01 +4.7889e+00 -1.3258e-01 +4.0610e+00 -6.5606e-01
37 0 +2.102186616e+02 +3.035186616e+02 +3.035186616e+02 +7.3367e-01 -3.7150e+00 +3.1120e+00 +3.2064e+00 +1.2594e+00 +3.2043e+00 +1.5148e+00 -2.9332e+00 -2.2604e+00 -2.8541e+00
46 0 +1.474683749e+02 +2.407683749e+02 +2.407683749e+02 -1.2201e+00 +2.0508e+00 -2.5128e+00 -1.6975e+00 -6.5548e-01 -2.4632e+00 -9.4798e-01 +7.1473e-01 +2.4097e+00 +2.6719e+00
180 0 +1.254685771e+02 +2.187685771e+02 +2.187685771e+02 -2.2283e+00 +1.3102e+00 -5.8150e-01 -1.4992e+00 -4.5430e-01 -3.1535e+00 -1.6934e+00 +1.4692e+00 +3.2457e+00 +6.4969e-02
414 0 +1.157078697e+02 +2.090078697e+02 +2.090078697e+02 -2.9596e+00 +5.4616e-02 -4.3684e+00 -2.8008e+00 +2.1739e+00 +7.5526e-01 +3.6184e+00 -9.6164e-01 +1.7210e+00 +1.1838e+00
417 0 +1.036459756e+02 +1.969459756e+02 +1.969459756e+02 -1.2192e+00 -5.1765e-01 -4.3515e-01 -2.4190e-01 +7.9374e-01 -3.1379e+00 -3.3068e-02 +1.7660e+00 -2.7094e-02 +2.3039e+00
671 0 +9.729510340e+01 +1.905951034e+02 +1.905951034e+02 -6.5573e-01 +5.0467e-01 -1.8292e+00 +3.7520e-01 +8.9992e-01 -2.2857e+00 +7.2029e-01 +6.3609e-01 +8.0129e-01 +1.9735e+00
949 0 +8.812236716e+01 +1.814223672e+02 +1.814223672e+02 -1.5503e+00 +1.4665e+00 -1.2138e+00 -1.8159e+00 -7.7814e-01 -1.7926e+00 +2.7034e+00 +5.8423e-01 +3.2245e+00 +1.9032e+00
1326 0 +7.003801413e+01 +1.633380141e+02 +1.633380141e+02 -1.5165e+00 +2.8418e+00 -4.0882e-01 -6.4756e-01 -8.3806e-01 -2.0070e+00 +1.9847e+00 +2.2564e+00 +1.6981e+00 +2.0293e+00
1595 0 +6.740211943e+01 +1.607021194e+02 +1.607021194e+02 -2.0798e+00 +6.1995e-01 -2.5379e+00 -2.4735e+00 +1.6290e+00 -6.0569e-01 +1.5083e+00 +5.3756e-01 +4.7863e-01 +1.0201e+00
2016 0 +6.440933584e+01 +1.577093358e+02 +1.577093358e+02 -1.4941e+00 +1.0340e+00 -1.5258e+00 -2.2482e+00 +1.7196e+00 -6.2881e-01 +1.3838e+00 +1.3553e+00 +1.3393e+00 +1.5897e+00
