% f evaluations | g evaluations | best noise-free fitness - Fopt (-5.494000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +3.355341568e+07 +3.355336074e+07 +3.355336074e+07 +2.9654e+00 -3.1657e+00 +2.7969e+00 +9.6850e-01 -5.4167e-01 -4.0003e+00 -4.0751e-01 -1.6629e+00 -3.5713e+00 +1.5089e+00 -4.4359e+00 +2.2200e+00 +4.3855e+00 -4.9922e+00 +4.9221e+00 +1.1748e+00 +1.1165e+00 -4.9293e+00 -4.7694e+00 +2.4775e-01
2 0 +2.465439793e+07 +2.465434299e+07 +2.465434299e+07 -1.0014e+00 -4.5333e+00 +4.7376e+00 -2.6723e+00 -4.0939e+00 +1.1839e+00 -1.1754e+00 +4.8323e+00 -3.3237e-01 +3.5994e+00 +1.8031e+00 -4.9501e-01 -4.8674e+00 +4.4220e+00 +6.3288e-01 -1.1458e+00 -4.8403e+00 -2.6911e+00 -2.5897e+00 +1.8326e+00
4 0 +7.084148253e+06 +7.084093313e+06 +7.084093313e+06 +2.4732e+00 +3.9692e-01 +8.6751e-01 +4.6526e+00 +1.0703e+00 -2.2400e+00 -2.0373e+00 -3.3473e+00 -4.8436e+00 -7.6599e-01 -1.0512e+00 -2.0651e+00 -4.8592e+00 -3.0116e+00 +2.1134e+00 +2.9018e+00 +1.0596e+00 +4.2630e+00 +1.5108e+00 +4.1496e+00
16 0 +6.510467608e+06 +6.510412668e+06 +6.510412668e+06 -3.0562e+00 -8.8646e-01 +1.9951e+00 -3.6165e+00 -3.6725e+00 +4.6954e+00 +2.1460e+00 -4.5893e+00 -1.0118e+00 -6.6479e-01 +2.4404e+00 -2.4914e+00 -3.1567e+00 -4.1913e+00 -7.1686e-01 +1.8850e+00 -4.4181e+00 +4.1521e+00 -5.7648e-01 -2.6021e+00
25 0 +5.394802271e+06 +5.394747331e+06 +5.394747331e+06 -2.8319e+00 -2.0551e+00 +4.9583e+00 +1.9693e+00 -1.1580e+00 +2.3710e+00 +4.1525e+00 +4.5870e+00 -4.4214e+00 -1.0548e+00 -3.9324e+00 -1.6434e+00 -3.3032e+00 +1.4685e+00 -1.1173e+00 -2.7061e+00 -2.3406e+00 -1.3965e+00 -2.4005e+00 -4.6759e-01
30 0 +1.650650363e+06 +1.650595423e+06 +1.650595423e+06 -4.5414e+00 +1.2081e+00 -1.5259e+00 -2.9087e+00 +7.9650e-01 -1.5844e+00 +3.7263e-01 -3.9881e-01 +8.4766e-01 -9.9700e-01 +1.9767e+00 -3.1993e+00 +1.9650e+00 -8.8339e-01 +3.7432e+00 +1.5236e-01 +4.7311e+00 +1.0194e+00 -2.7615e+00 +3.2179e+00
2127 0 +1.285549465e+06 +1.285494525e+06 +1.285494525e+06 -4.9022e+00 -4.2488e+00 +3.5660e-01 +3.5446e+00 -4.9512e+00 +4.3666e+00 -3.9372e+00 +3.4198e+00 +8.5456e-01 +1.5936e+00 -3.7565e+00 -2.2952e-01 +3.3490e+00 +2.5589e+00 -1.6598e-01 -3.8836e+00 -3.8460e+00 +3.0154e+00 +2.9391e-01 -1.8411e-01
5873 0 +1.015140387e+06 +1.015085447e+06 +1.015085447e+06 -2.2428e+00 -2.4041e+00 +2.8713e+00 +4.7483e+00 -1.2879e+00 +2.6363e-01 +3.4479e+00 -2.3186e+00 -3.4362e+00 +3.5309e+00 -4.5350e+00 +1.1970e+00 +6.1993e-01 -1.5408e+00 -1.8481e+00 +1.3634e+00 -4.1358e+00 -7.5759e-01 +2.3245e+00 +2.2112e-01
5886 0 +8.919879973e+05 +8.919330573e+05 +8.919330573e+05 -3.6248e+00 -1.5918e+00 -3.3518e+00 -3.2942e+00 +4.4811e+00 -5.4754e-01 +2.8880e+00 +1.3961e+00 +1.7643e+00 -2.0555e+00 -2.6582e+00 +2.8675e+00 +3.6240e+00 -2.3732e+00 -2.6072e+00 -2.7103e-01 +3.4406e+00 -2.3104e+00 -9.3028e-01 +3.9148e+00
6420 0 +8.859236092e+05 +8.858686692e+05 +8.858686692e+05 -2.2428e+00 -2.4041e+00 +2.8713e+00 +4.7483e+00 -1.2879e+00 +2.6363e-01 +3.4479e+00 -2.3186e+00 -3.4362e+00 +3.5309e+00 -4.5350e+00 +1.1970e+00 +6.1993e-01 -1.5408e+00 -1.8481e+00 -1.2844e+00 -4.1358e+00 -7.5759e-01 +2.3245e+00 +2.2112e-01
