% f evaluations | g evaluations | best noise-free fitness - Fopt (1.000000000000e+03) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.317339887e+03 +2.317339887e+03 +2.317339887e+03 +1.4901e+00 -4.1479e-01 +1.9431e+00 +4.5691e+00 -7.0247e-01 -7.0242e-01 +4.7377e+00 +2.3023e+00 -1.4085e+00 +1.6277e+00 -1.3903e+00 -1.3972e+00 +7.2591e-01 -4.7599e+00 -4.9944e+00 -1.6869e+00 -3.0386e+00 +9.4278e-01 -2.7242e+00 -4.2371e+00
5 0 +1.017773696e+03 +2.017773696e+03 +2.017773696e+03 -6.5902e-01 +1.0713e+00 +4.4337e+00 -1.5548e+00 -2.4255e+00 -1.5053e+00 +2.7462e+00 +9.8627e-01 -1.5893e+00 +1.5398e+00 +2.9124e-01 +2.9060e+00 -2.1062e+00 -9.8302e-01 -1.1764e+00 -4.3907e+00 +8.8840e-01 +7.8320e-01 +1.5341e-02 -7.0379e-01
9 0 +7.779975284e+02 +1.777997528e+03 +1.777997528e+03 -2.9240e+00 +2.3613e+00 +3.4758e+00 -2.4621e+00 +2.8902e+00 +1.2384e+00 +2.4662e+00 +4.8060e+00 -7.3618e-01 -2.2613e+00 -2.6686e+00 -2.4475e+00 -2.3131e-01 +1.0235e+00 +8.3010e-01 +2.4816e+00 +3.9007e-02 +4.3608e+00 -7.9401e-01 +2.3391e+00
13 0 +7.380088817e+02 +1.738008882e+03 +1.738008882e+03 +1.0941e+00 +3.2361e+00 +2.3719e+00 +1.1246e+00 -7.0622e-01 +3.6174e+00 +4.9521e+00 +7.6026e-01 -1.7012e-02 -1.6227e-01 -1.3800e+00 -5.4118e-02 -3.0999e+00 -3.1572e+00 +2.2575e+00 +4.0558e+00 -2.8989e-01 -2.2617e+00 -2.2956e+00 -8.3572e-01
39 0 +6.351909239e+02 +1.635190924e+03 +1.635190924e+03 +4.2650e-01 +3.1875e+00 +2.2169e+00 +4.6492e-01 +3.9264e+00 +2.2000e+00 -9.8526e-01 -2.1045e+00 -3.1146e+00 -1.5932e-02 -4.1688e+00 -3.9867e+00 -1.7719e+00 -9.0964e-01 +1.6616e+00 +4.8723e+00 +4.9475e+00 +2.5484e+00 -2.2891e+00 -4.7875e+00
50 0 +5.831542818e+02 +1.583154282e+03 +1.583154282e+03 +1.7144e+00 +4.6778e+00 +3.7682e+00 +4.1056e+00 +3.9832e+00 +4.8153e+00 +2.1371e+00 +1.0572e+00 +1.8119e+00 +4.7406e-01 -2.9847e+00 -3.9931e+00 -4.7006e+00 -6.4546e-01 +6.5480e-01 +4.1347e+00 +2.3688e+00 -7.6780e-01 -4.5403e+00 -7.0858e-01
80 0 +5.389255512e+02 +1.538925551e+03 +1.538925551e+03 -3.5109e+00 +4.8592e+00 +4.8809e+00 +4.0573e+00 +1.7761e+00 +2.3994e-01 +2.8370e+00 +1.2888e+00 -1.6618e+00 -5.8091e-01 -3.8096e+00 -3.0050e+00 -6.3501e-01 -3.5346e+00 +4.6802e+00 +2.2027e+00 +4.8784e+00 +2.7637e+00 -3.5882e+00 +2.7003e-01
86 0 +5.227383453e+02 +1.522738345e+03 +1.522738345e+03 -1.3881e+00 +3.2417e+00 +4.4309e+00 +4.8504e+00 +4.5560e+00 +3.4749e+00 -1.4385e+00 +3.9178e+00 -3.8041e+00 +9.5390e-01 -4.4898e+00 -1.6495e+00 -1.0699e-01 -1.0058e+00 +1.1904e+00 +4.1776e+00 +4.4194e+00 -1.4371e+00 -3.4883e+00 -1.0957e+00
95 0 +4.836687502e+02 +1.483668750e+03 +1.483668750e+03 -3.8310e+00 +3.7742e+00 +3.9733e+00 +4.0019e+00 +3.2624e+00 +1.6069e+00 -7.7434e-01 +1.3430e-01 -2.2264e+00 +1.2466e+00 -3.3228e+00 -3.2444e+00 -3.6280e+00 -5.4607e-01 +3.3933e+00 +3.6192e+00 +2.4198e+00 +3.3928e+00 -3.9308e+00 +1.2876e+00
122 0 +3.749142643e+02 +1.374914264e+03 +1.374914264e+03 -1.8658e+00 +2.2821e+00 +4.0536e+00 +3.9694e+00 +2.6022e+00 -1.2410e+00 -4.1365e+00 -4.7319e-01 -4.6219e+00 -5.8320e-01 -3.3523e+00 -1.7288e+00 -4.5865e+00 -5.1742e-01 +3.3109e+00 +1.2949e+00 +4.9729e+00 +1.9796e+00 -4.3906e+00 -9.9495e-02
178 0 +3.508564213e+02 +1.350856421e+03 +1.350856421e+03 -2.0030e+00 +4.7864e+00 +4.2578e+00 +2.7833e+00 +2.7908e+00 -1.6274e+00 -7.9984e-01 +9.3938e-01 -4.9994e+00 +4.7308e-01 -2.9404e+00 -1.5374e+00 -3.1812e+00 -2.0132e+00 +4.7052e+00 +2.3374e+00 +1.6711e+00 +1.8128e+00 -4.7891e+00 +2.2620e+00
216 0 +3.232306080e+02 +1.323230608e+03 +1.323230608e+03 -3.9791e+00 +1.7273e+00 +3.8308e+00 +4.9905e+00 +3.5750e+00 -2.2281e+00 -4.8162e-01 +1.1590e+00 -3.8325e+00 -1.5525e+00 -2.4395e+00 -8.4574e-01 -3.2663e+00 -9.0119e-01 +4.8944e+00 +4.4415e+00 +1.9405e+00 +1.2642e+00 -4.9988e+00 +1.1813e+00
236 0 +3.090464979e+02 +1.309046498e+03 +1.309046498e+03 -4.9421e+00 +3.5206e+00 +4.8604e+00 +3.8705e+00 +2.1630e+00 -2.7586e+00 -1.4358e+00 +1.9633e+00 -1.8436e+00 -1.9431e+00 -3.0921e+00 -3.5433e+00 -1.7878e+00 -1.8164e+00 +4.5216e+00 +3.8444e+00 +6.6809e-02 +1.6777e+00 -2.8894e+00 -1.8723e+00
308 0 +2.929000984e+02 +1.292900098e+03 +1.292900098e+03 -1.3059e+00 +4.3317e+00 +3.8004e+00 +3.1177e+00 +2.4491e+00 -2.5032e-01 +1.0887e+00 +1.1834e+00 -9.4472e-01 -2.8105e-01 -3.1291e+00 -1.9689e+00 +1.9515e-01 -2.7984e+00 +2.1746e+00 +3.1257e+00 +3.0738e+00 -1.5903e+00 -2.3445e+00 -8.8817e-01
375 0 +2.481533300e+02 +1.248153330e+03 +1.248153330e+03 -3.5662e+00 +4.2413e+00 +4.9937e+00 +3.6645e+00 +2.1179e+00 -2.5616e+00 -1.3237e+00 +2.9209e+00 -3.1996e+00 -2.9850e-01 -2.7081e+00 -3.1112e+00 -3.2964e-01 -8.2115e-01 +2.4905e+00 +3.5254e+00 +2.9231e+00 +2.3396e+00 -2.0045e+00 -1.0718e+00
412 0 +2.321310330e+02 +1.232131033e+03 +1.232131033e+03 -2.9892e+00 +3.1664e+00 +4.3655e+00 +1.7889e+00 +2.9111e+00 -4.2028e+00 -3.9583e+00 -1.5565e-01 -3.3857e+00 +8.1475e-02 -3.9719e+00 -9.5371e-01 +1.6075e-01 -2.5853e-01 +1.7701e+00 +2.4088e+00 +4.0903e+00 +9.1572e-01 +4.0144e-01 -1.3585e+00
