% f evaluations | g evaluations | best noise-free fitness - Fopt (-4.620900000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.664051701e+04 +1.617842701e+04 +1.617842701e+04 +2.9654e+00 -3.1657e+00 +2.7969e+00 +9.6850e-01 -5.4167e-01 -4.0003e+00 -4.0751e-01 -1.6629e+00 -3.5713e+00 +1.5089e+00 -4.4359e+00 +2.2200e+00 +4.3855e+00 -4.9922e+00 +4.9221e+00 +1.1748e+00 +1.1165e+00 -4.9293e+00 -4.7694e+00 +2.4775e-01
2 0 +2.433051117e+03 +1.970961117e+03 +1.970961117e+03 -1.0014e+00 -4.5333e+00 +4.7376e+00 -2.6723e+00 -4.0939e+00 +1.1839e+00 -1.1754e+00 +4.8323e+00 -3.3237e-01 +3.5994e+00 +1.8031e+00 -4.9501e-01 -4.8674e+00 +4.4220e+00 +6.3288e-01 -1.1458e+00 -4.8403e+00 -2.6911e+00 -2.5897e+00 +1.8326e+00
4 0 +1.669283555e+03 +1.207193555e+03 +1.207193555e+03 +2.4732e+00 +3.9692e-01 +8.6751e-01 +4.6526e+00 +1.0703e+00 -2.2400e+00 -2.0373e+00 -3.3473e+00 -4.8436e+00 -7.6599e-01 -1.0512e+00 -2.0651e+00 -4.8592e+00 -3.0116e+00 +2.1134e+00 +2.9018e+00 +1.0596e+00 +4.2630e+00 +1.5108e+00 +4.1496e+00
16 0 +1.237564508e+03 +7.754745082e+02 +7.754745082e+02 -3.0562e+00 -8.8646e-01 +1.9951e+00 -3.6165e+00 -3.6725e+00 +4.6954e+00 +2.1460e+00 -4.5893e+00 -1.0118e+00 -6.6479e-01 +2.4404e+00 -2.4914e+00 -3.1567e+00 -4.1913e+00 -7.1686e-01 +1.8850e+00 -4.4181e+00 +4.1521e+00 -5.7648e-01 -2.6021e+00
23 0 +9.684193854e+02 +5.063293854e+02 +5.063293854e+02 -2.6677e+00 +8.1305e-01 +3.6314e+00 +3.8036e+00 -2.6331e+00 +4.0769e+00 +9.1889e-01 -1.4978e+00 +2.0818e+00 -1.8333e-01 -1.2201e+00 +2.0508e+00 -2.5128e+00 -1.6975e+00 -6.5548e-01 -2.4632e+00 -9.4798e-01 +7.1473e-01 +2.4097e+00 +2.6719e+00
277 0 +8.853317312e+02 +4.232417312e+02 +4.232417312e+02 -1.4732e+00 +4.9616e-01 -3.0544e+00 -1.7998e+00 +9.2270e-01 +4.0331e+00 +2.0533e-01 -7.5198e-01 -3.1949e+00 +8.0932e-01 -1.2367e+00 +7.3653e-01 -2.7838e+00 -1.6906e+00 +1.8031e+00 +7.7994e-01 -3.7678e+00 +4.6706e+00 +2.2748e+00 +2.8903e+00
323 0 +7.264708447e+02 +2.643808447e+02 +2.643808447e+02 -7.4488e-01 +9.5404e-01 +1.6191e+00 +3.8036e+00 +1.4446e-01 +4.0769e+00 -7.0331e-01 -3.5800e+00 -1.2818e+00 -1.8333e-01 +1.2571e+00 +1.3181e+00 -4.3186e+00 -1.6975e+00 -6.5548e-01 -2.4289e+00 -3.0415e+00 +7.1473e-01 +2.4097e+00 +3.6797e-01
377 0 +5.187313021e+02 +5.664130205e+01 +5.664130205e+01 -3.3745e+00 -3.9652e-01 -2.8080e+00 -2.6247e+00 +9.2270e-01 +1.3701e+00 +1.6786e+00 -7.5198e-01 -2.2348e+00 +8.0932e-01 +1.7399e+00 -1.9405e+00 -2.8452e+00 -1.6906e+00 -2.8344e-01 -6.9836e-01 -1.1020e+00 +4.6706e+00 +2.1678e+00 +2.8903e+00
755 0 +4.986870048e+02 +3.659700482e+01 +3.659700482e+01 -3.0331e+00 +6.8096e-01 -1.9190e+00 -3.4596e+00 -1.7835e+00 +3.0892e+00 +1.2349e+00 +3.8005e+00 -6.7904e-01 -6.4877e-02 -1.2594e-01 +4.4561e-01 -2.0834e+00 -3.8101e+00 +3.1439e-01 -4.1415e+00 -2.6695e+00 +3.2301e+00 +2.1654e+00 +4.2217e-01
775 0 +4.328500196e+02 -2.923998044e+01 -2.923998044e+01 -1.7189e-01 -7.1394e-01 -4.8465e+00 +2.4680e+00 +1.2507e+00 +2.4136e+00 +1.5676e+00 +3.1407e+00 +1.8426e+00 -8.1055e-01 +1.9756e+00 -2.3593e+00 -2.3421e+00 +3.8706e-01 -8.1575e-02 -4.2044e+00 -1.4997e+00 +2.0356e+00 +2.4844e+00 +2.2570e+00
1075 0 +4.080632200e+02 -5.402678000e+01 -5.402678000e+01 -1.7189e-01 -7.1394e-01 -3.1155e+00 -1.8621e-01 -9.1599e-01 +2.4136e+00 +4.9303e-01 +3.1407e+00 +1.8426e+00 -8.1055e-01 +1.9756e+00 -2.3593e+00 -2.3421e+00 +3.8706e-01 -8.1575e-02 -4.2044e+00 -1.5601e+00 +2.0356e+00 +1.2829e+00 +2.2570e+00
1300 0 +4.032062953e+02 -5.888370470e+01 -5.888370470e+01 -7.9191e-01 -5.7564e-01 -1.3653e+00 -7.3373e-01 +5.3009e-01 +6.6255e-01 -1.2047e+00 +2.0642e+00 -9.8756e-01 +9.7710e-01 +1.3339e+00 -4.8101e+00 -7.6182e-01 -4.2135e+00 -7.1849e-01 -2.6311e+00 -8.6294e-01 +3.7756e+00 +2.4618e-01 +1.0881e+00
1425 0 +3.513058055e+02 -1.107841945e+02 -1.107841945e+02 -5.2467e-01 +9.7635e-04 -2.0266e+00 -1.0640e+00 +1.7202e-01 +1.5830e+00 +1.8467e+00 +8.5635e-01 +1.1600e+00 +3.8935e-01 +2.4377e+00 -1.8348e+00 -1.3243e+00 -2.9570e+00 -2.1319e+00 -4.2787e+00 +1.2578e-01 +1.6197e+00 +1.8033e+00 +1.4569e+00
1495 0 +2.975107652e+02 -1.645792348e+02 -1.645792348e+02 -1.5876e+00 +5.4949e-01 -1.9013e+00 +8.3188e-01 -2.7583e-01 +4.4141e+00 +2.6952e+00 +7.5035e-01 -9.0690e-01 +3.4187e-01 +2.0601e-01 -4.6213e+00 -1.8086e+00 -2.4164e+00 +4.7655e-01 -2.2861e+00 +2.8247e-01 +2.5751e+00 +2.1160e+00 +2.2125e+00
