% f evaluations | g evaluations | best noise-free fitness - Fopt (7.135000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +8.620116124e+01 +1.575511612e+02 +1.575511612e+02 +1.6279e+00 +2.4450e+00 -1.5804e+00 -4.9094e+00 -3.2045e+00 +2.7818e+00 -4.3137e+00 -3.0614e+00 +2.1651e+00 -1.5939e+00 +3.7853e+00 +4.2916e+00 -4.3660e-02 +1.9635e+00 -1.5687e+00 +3.9349e+00 +1.6145e+00 -4.3541e+00 -2.6707e+00 -2.9696e+00
2 0 +5.093661563e+01 +1.222866156e+02 +1.222866156e+02 -4.5291e-01 +7.9895e-01 +2.1103e+00 -1.2805e-01 -9.6608e-01 +3.4097e+00 +3.7567e+00 +2.7989e+00 -3.8471e+00 -2.3432e+00 +3.9465e+00 +7.8682e-01 -6.3904e-01 +2.5794e+00 +2.9013e+00 +7.4128e-01 -2.5678e+00 -3.6066e+00 -2.1768e-01 +3.0367e+00
28 0 +4.591683094e+01 +1.172668309e+02 +1.172668309e+02 +4.2019e-01 +1.0350e+00 +1.6425e+00 -9.8452e-01 +4.2941e+00 -1.4360e+00 +4.9269e+00 -3.1075e+00 -1.1486e+00 -2.0702e-01 -4.0749e+00 +1.6168e+00 -2.2505e+00 -3.1055e+00 -2.0357e+00 +2.9518e+00 -3.6632e+00 -2.9397e+00 +2.8440e+00 -3.0032e+00
29 0 +4.130716904e+01 +1.126571690e+02 +1.126571690e+02 -3.2598e+00 +4.1095e+00 +4.4675e+00 -1.9967e+00 -4.0897e+00 +1.6290e+00 -3.1726e+00 -2.7709e+00 +1.9926e+00 -1.9637e+00 -8.7166e-01 +4.0199e+00 +4.4957e+00 -1.8801e-01 -4.4172e+00 -2.5497e+00 -6.8748e-01 +2.3930e+00 +4.2018e+00 +4.5428e+00
57 0 +3.638859586e+01 +1.077385959e+02 +1.077385959e+02 -3.6463e+00 -4.2359e+00 -2.9838e+00 -4.0990e+00 +1.6696e+00 -4.9541e+00 -3.8086e+00 +2.2211e+00 +4.3521e+00 +4.6457e+00 +1.4400e+00 -9.6411e-02 -4.4204e+00 -1.0046e+00 +4.6991e+00 +3.3348e+00 +2.9802e+00 -4.9298e+00 -4.8237e+00 +9.6558e-01
83 0 +3.506652344e+01 +1.064165234e+02 +1.064165234e+02 -6.7249e-01 -6.6573e-01 -6.6650e-01 -6.6871e-01 -6.7599e-01 -6.7034e-01 -6.7362e-01 -6.7184e-01 -6.6460e-01 -6.6949e-01 -6.7022e-01 -6.7284e-01 -6.7057e-01 -6.7113e-01 -6.6704e-01 -6.7267e-01 -6.6830e-01 -6.7232e-01 -6.7097e-01 -6.7132e-01
90 0 +3.441527273e+01 +1.057652727e+02 +1.057652727e+02 -6.1650e-01 -6.1599e-01 -6.1471e-01 -6.1765e-01 -6.1739e-01 -6.1638e-01 -6.1755e-01 -6.1709e-01 -6.1475e-01 -6.1950e-01 -6.1582e-01 -6.1540e-01 -6.1519e-01 -6.1690e-01 -6.1717e-01 -6.1501e-01 -6.1266e-01 -6.1656e-01 -6.1762e-01 -6.1749e-01
93 0 +3.332117912e+01 +1.046711791e+02 +1.046711791e+02 -8.0278e-01 -7.9844e-01 -7.9952e-01 -8.0100e-01 -8.0197e-01 -7.9605e-01 -7.9960e-01 -8.0127e-01 -7.9720e-01 -7.9999e-01 -7.9906e-01 -8.0119e-01 -7.9875e-01 -8.0023e-01 -7.9823e-01 -8.0101e-01 -7.9842e-01 -8.0158e-01 -7.9985e-01 -7.9826e-01
160 0 +3.220755123e+01 +1.035575512e+02 +1.035575512e+02 -7.8898e-01 -7.8464e-01 -7.8572e-01 -7.8720e-01 -7.8817e-01 -7.8225e-01 -7.8580e-01 -7.8747e-01 -7.8340e-01 -7.8619e-01 -7.8526e-01 -7.8740e-01 -7.8495e-01 -7.8643e-01 -7.8443e-01 -7.8721e-01 -7.8463e-01 -7.8779e-01 -7.8605e-01 -7.8446e-01
787 0 +3.148454975e+01 +1.028345498e+02 +1.028345498e+02 -6.8228e-01 -6.8209e-01 -6.8071e-01 -6.8121e-01 -6.8182e-01 -6.7970e-01 -6.8141e-01 -6.8144e-01 -6.8035e-01 -6.8094e-01 -6.8239e-01 -6.8164e-01 -6.8066e-01 -6.8089e-01 -6.8091e-01 -6.8178e-01 -6.8078e-01 -6.8313e-01 -6.8064e-01 -6.8017e-01
