% f evaluations | g evaluations | best noise-free fitness - Fopt (9.294000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.237673081e+03 +1.330613081e+03 +1.330613081e+03 -4.9501e+00 -2.8972e+00 -4.5300e+00 +1.6618e+00 +9.0203e-01
2 0 +4.919919104e+02 +5.849319104e+02 +5.849319104e+02 -1.4777e+00 +4.0474e+00 +4.2060e+00 -2.0844e-01 -1.6561e-01
4 0 +3.760839295e+02 +4.690239295e+02 +4.690239295e+02 -4.8459e+00 +3.2022e+00 +3.6214e+00 +3.4209e+00 +4.1198e+00
5 0 +2.782754570e+02 +3.712154570e+02 +3.712154570e+02 -4.2286e+00 -2.0452e+00 -4.1913e+00 +3.9534e-03 +3.4334e+00
8 0 +9.878788808e+00 +1.028187888e+02 +1.028187888e+02 +4.6789e-01 +3.4455e-01 +8.3287e-01 +2.4269e+00 +1.4021e+00
309 0 +9.320776509e+00 +1.022607765e+02 +1.022607765e+02 +1.0325e+00 +1.2956e+00 +3.6162e-01 +3.9470e+00 +2.1264e+00
480 0 +8.411976299e+00 +1.013519763e+02 +1.013519763e+02 +1.0512e+00 +1.0526e+00 +8.2818e-01 +4.8608e+00 +2.2053e+00
538 0 +6.521043651e+00 +9.946104365e+01 +9.946104365e+01 +7.3677e-01 +7.6541e-01 -1.4071e-01 +3.2070e+00 +1.6618e+00
559 0 +5.863705179e+00 +9.880370518e+01 +9.880370518e+01 +2.7989e-01 +2.7452e-02 +6.6123e-01 +4.5227e+00 +3.8324e+00
714 0 +4.087274188e+00 +9.702727419e+01 +9.702727419e+01 -5.8493e-01 +4.4693e-01 +1.8776e-03 +4.4783e+00 +4.0766e+00
718 0 +3.869771338e+00 +9.680977134e+01 +9.680977134e+01 +2.8923e-01 -9.4251e-02 +8.9493e-01 +4.9804e+00 +3.8719e+00
807 0 +2.011080159e+00 +9.495108016e+01 +9.495108016e+01 +3.5419e-01 +9.9331e-01 +5.7629e-01 +3.8401e+00 +2.1460e+00
1181 0 +1.282769801e+00 +9.422276980e+01 +9.422276980e+01 -5.5830e-01 +4.0458e-01 +4.8985e-01 +3.4785e+00 +3.3362e+00
1252 0 +9.288800347e-01 +9.386888003e+01 +9.386888003e+01 -1.5878e-01 +6.0242e-01 +2.2377e-01 +3.4951e+00 +3.0325e+00
1314 0 +4.443945597e-01 +9.338439456e+01 +9.338439456e+01 -5.0014e-01 +5.3970e-01 +1.8776e-03 +2.9831e+00 +2.8511e+00
2098 0 +4.154080732e-01 +9.335540807e+01 +9.335540807e+01 +1.3118e-02 +7.3908e-01 +5.6653e-01 +3.0851e+00 +1.9285e+00
2531 0 +5.766603497e-02 +9.299766603e+01 +9.299766603e+01 -2.9150e-01 +6.2075e-01 +2.3140e-01 +3.0246e+00 +2.4761e+00
2700 0 +5.766603497e-02 +9.299766603e+01 +9.299766603e+01 -2.9150e-01 +6.2075e-01 +2.3140e-01 +3.0246e+00 +2.4761e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (3.535000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +2.249737195e+03 +2.285087195e+03 +2.285087195e+03 -4.9501e+00 -2.8972e+00 -4.5300e+00 +1.6618e+00 +9.0203e-01
2 0 +3.189659294e+02 +3.543159294e+02 +3.543159294e+02 -1.4777e+00 +4.0474e+00 +4.2060e+00 -2.0844e-01 -1.6561e-01
3 0 +2.137814012e+02 +2.491314012e+02 +2.491314012e+02 +4.8801e+00 +7.7672e-01 +4.8793e+00 -4.0735e+00 -1.2287e+00
11 0 +1.745228512e+02 +2.098728512e+02 +2.098728512e+02 +2.4002e+00 -3.5633e+00 +3.1764e+00 -6.6190e-01 -3.7754e+00
13 0 +1.109071543e+02 +1.462571543e+02 +1.462571543e+02 +4.1322e+00 -5.5723e-01 +2.8430e+00 +4.6734e-01 +1.2903e+00
31 0 +6.643326866e+01 +1.017832687e+02 +1.017832687e+02 +4.5523e+00 +2.9693e+00 +3.0721e+00 +4.5314e-01 -8.6858e-01
58 0 +4.892266367e+01 +8.427266367e+01 +8.427266367e+01 +1.3630e+00 +4.2296e-02 +3.4231e+00 -8.3498e-01 -4.4059e+00
