alg,fid,inst,dim,best_f,evals_total,t_hit_0.1,t_hit_0.001,t_hit_1e-05,t_hit_1e-08,duration_sec
LSHADE,5,10,2,-35.68999889999999,740,15,15,15,15,0.013747930526733398
LSHADE,5,11,2,31.740001100000004,740,-1,-1,-1,-1,0.013198375701904297
LSHADE,5,12,2,834.4900011,670,-1,-1,-1,-1,0.011963129043579102
LSHADE,5,13,2,41.59000110000001,740,-1,-1,-1,-1,0.01324915885925293
LSHADE,5,14,2,100.42000110000001,740,-1,-1,-1,-1,0.013555765151977539
LSHADE,5,15,2,-7.529998899999995,740,7,7,7,7,0.014114618301391602
LSHADE,6,1,2,35.900000000000006,1980,-1,-1,-1,-1,0.024616718292236328
LSHADE,6,2,2,31.37,1920,-1,-1,-1,-1,0.023080110549926758
LSHADE,6,3,2,-999.9999999999999,2090,1,1,1,1,0.02582526206970215
LSHADE,6,4,2,131.92,2200,-1,-1,-1,-1,0.026276588439941406
LSHADE,6,5,2,590.84,1740,-1,-1,-1,-1,0.022063493728637695
LSHADE,6,6,2,30.98,2250,-1,-1,-1,-1,0.026361465454101562
LSHADE,6,7,2,-144.54,2040,23,23,23,23,0.02398681640625
LSHADE,6,8,2,-96.49,1970,4,4,4,4,0.02535223960876465
LSHADE,6,9,2,1000.0,1790,-1,-1,-1,-1,0.021964311599731445
LSHADE,6,10,2,-154.76,2190,15,15,15,15,0.025503873825073242
LSHADE,6,11,2,39.14,2200,-1,-1,-1,-1,0.026947736740112305
LSHADE,6,12,2,-11.86,1750,16,16,16,16,0.02212810516357422
LSHADE,6,13,2,70.68,1840,-1,-1,-1,-1,0.023246288299560547
LSHADE,6,14,2,-6.26,2080,4,4,4,4,0.025738239288330078
LSHADE,6,15,2,183.86,1930,-1,-1,-1,-1,0.026871681213378906
LSHADE,7,1,2,92.94,2000,-1,-1,-1,-1,0.023833513259887695
LSHADE,7,2,2,35.35,2010,-1,-1,-1,-1,0.025559663772583008
LSHADE,7,3,2,3.82,1740,-1,-1,-1,-1,0.021964311599731445
LSHADE,7,4,2,21.75,1450,-1,-1,-1,-1,0.019253015518188477
LSHADE,7,5,2,64.79,1820,-1,-1,-1,-1,0.024728059768676758
LSHADE,7,6,2,54.07,1600,-1,-1,-1,-1,0.021568775177001953
LSHADE,7,7,2,-91.52,1320,2,2,2,2,0.017044544219970703
LSHADE,7,8,2,22.63,1640,-1,-1,-1,-1,0.018793582916259766
LSHADE,7,9,2,15.54,1840,-1,-1,-1,-1,0.021676063537597656
LSHADE,7,10,2,-376.51,1460,3,3,3,3,0.020687580108642578
LSHADE,7,11,2,396.04,1930,-1,-1,-1,-1,0.023941755294799805
LSHADE,7,12,2,128.11,1690,-1,-1,-1,-1,0.023906469345092773
LSHADE,7,13,2,-292.35,2060,3,3,3,3,0.02859663963317871
LSHADE,7,14,2,311.1257608319675,400,-1,-1,-1,-1,0.0068264007568359375
LSHADE,7,15,2,-805.18,2050,1,1,1,1,0.028177738189697266
LSHADE,8,1,2,149.15,1900,-1,-1,-1,-1,0.02649235725402832
LSHADE,8,2,2,-1000.0,1780,5,5,5,5,0.024834156036376953
LSHADE,8,3,2,98.62,2010,-1,-1,-1,-1,0.027644634246826172
LSHADE,8,4,2,-47.15,2060,13,13,13,13,0.026796579360961914
LSHADE,8,5,2,37.52,1920,-1,-1,-1,-1,0.02754807472229004
LSHADE,8,6,2,-425.75,2380,5,5,5,5,0.03262901306152344
LSHADE,8,7,2,-220.9,1670,4,4,4,4,0.0233306884765625
LSHADE,8,8,2,-359.48,2200,13,13,13,13,0.030548095703125
LSHADE,8,9,2,27.48,1690,-1,-1,-1,-1,0.023499727249145508
LSHADE,8,10,2,36.09,1880,-1,-1,-1,-1,0.025986909866333008
LSHADE,8,11,2,-57.91,1840,16,16,16,16,0.0219881534576416
LSHADE,8,12,2,-334.91,1880,6,6,6,6,0.024810791015625
LSHADE,8,13,2,-46.7,2380,36,36,36,36,0.03286600112915039
LSHADE,8,14,2,-93.08,1930,6,6,6,6,0.027143239974975586
